,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
349,Marovoay,MG,-16.1,46.6333,67.66,69,0,2.89,clear sky
350,Kavaratti,IN,10.5669,72.642,84.9,68,100,19.62,overcast clouds
351,Marau,BR,-28.4492,-52.2,58.89,99,100,2.82,overcast clouds
352,Nikolayevka,RU,53.1257,47.2041,36.95,96,100,13.6,light rain
353,Oistins,BB,13.0667,-59.5333,80.69,74,20,17.27,few clouds
354,Ust-Kuyga,RU,70.0167,135.6,16.45,84,100,10.89,overcast clouds
355,Aquiraz,BR,-3.9014,-38.3911,79.18,72,97,4.9,overcast clouds
356,Nelson Bay,AU,-32.7167,152.15,70.0,86,100,1.99,overcast clouds
357,Carnarvon,AU,-24.8667,113.6333,68.07,94,94,5.75,overcast clouds
358,Manali,IN,13.1667,80.2667,84.29,62,100,15.46,heavy intensity rain
359,Kikerino,RU,59.4667,29.6333,40.37,79,71,5.77,broken clouds
360,Ishim,RU,56.1128,69.4902,56.07,39,100,14.47,overcast clouds
361,Edd,ER,13.9297,41.6925,84.69,70,44,0.81,scattered clouds
362,Cayenne,GF,4.9333,-52.3333,82.09,3,100,4.61,overcast clouds
363,Bayan,CN,46.0833,127.4,44.37,77,100,11.54,overcast clouds
364,Goundam,ML,16.4145,-3.6708,82.51,6,12,6.29,few clouds
365,Rybnaya Sloboda,RU,55.4613,50.1409,48.2,96,99,10.69,light rain
366,Nuuk,GL,64.1835,-51.7216,32.61,100,100,4.61,light snow
367,Muros,ES,42.7762,-9.0603,55.83,84,30,4.34,scattered clouds
368,Whitianga,NZ,-36.8333,175.7,58.21,58,8,11.99,clear sky
369,Axim,GH,4.8699,-2.2405,80.53,85,100,7.83,overcast clouds
370,Sale,MA,34.0389,-6.8166,74.08,43,25,6.91,scattered clouds
371,Grahamstown,ZA,-33.3042,26.5328,58.05,45,89,10.56,overcast clouds
372,Placido De Castro,BR,-10.3353,-67.1856,74.82,96,98,1.3,overcast clouds
373,Bumba,CD,2.1833,22.4667,71.26,97,98,1.5,light rain
374,Fort Nelson,CA,58.8053,-122.7002,51.39,35,20,6.91,few clouds
375,Panguna,PG,-6.3164,155.4848,81.25,64,77,4.47,broken clouds
376,Angoram,PG,-4.0625,144.0661,84.83,74,92,3.49,overcast clouds
377,Stornoway,GB,58.2093,-6.3865,46.36,89,75,6.91,broken clouds
378,Maralal,KE,1.0968,36.698,58.62,83,5,5.93,clear sky
379,Leningradskiy,RU,69.3833,178.4167,34.79,95,68,5.35,broken clouds
380,Misratah,LY,32.3754,15.0925,63.43,77,85,5.53,overcast clouds
381,Coquimbo,CL,-29.9533,-71.3436,56.93,100,100,6.91,fog
382,Natal,BR,-5.795,-35.2094,79.02,89,75,4.61,broken clouds
383,Mount Isa,AU,-20.7333,139.5,65.97,94,100,9.22,overcast clouds
384,Tromso,NO,69.6496,18.957,37.42,93,100,11.5,overcast clouds
385,Osuna,ES,37.2377,-5.1075,60.39,45,24,5.97,few clouds
386,Sorong,ID,-0.8833,131.25,82.13,79,92,2.59,overcast clouds
387,Sarangani,PH,5.4033,125.4636,81.34,80,99,11.86,light rain
388,Methoni,GR,36.8197,21.7049,61.21,75,4,5.57,clear sky
389,Namibe,AO,-15.1961,12.1522,73.96,60,30,9.35,scattered clouds
390,Kon Tum,VN,14.35,108.0,74.23,90,77,0.22,broken clouds
391,Deer Lake,CA,49.1667,-57.4316,49.86,32,40,5.75,scattered clouds
392,Celle,DE,52.6226,10.0805,62.06,82,75,3.44,broken clouds
393,Verkhoyansk,RU,67.5447,133.385,22.75,74,74,8.3,broken clouds
394,Khani,GE,41.9563,42.9566,42.37,91,64,4.9,broken clouds
395,Yuancheng,CN,36.652,107.7896,65.25,34,100,5.57,overcast clouds
396,Hirata,JP,35.4333,132.8167,62.62,94,75,3.44,broken clouds
397,Ouadda,CF,8.0777,22.4007,69.73,86,100,2.46,overcast clouds
398,Craig,US,40.5153,-107.5464,67.95,19,0,16.11,clear sky
399,Tabou,CI,4.423,-7.3528,79.9,84,94,5.79,overcast clouds
400,Mabaruma,GY,8.2,-59.7833,75.96,85,39,6.02,scattered clouds
401,Mahebourg,MU,-20.4081,57.7,75.25,100,20,5.75,few clouds
402,Kamaishi,JP,39.2667,141.8833,60.78,71,62,8.9,broken clouds
403,Toamasina,MG,-18.1667,49.3833,77.0,94,75,3.44,broken clouds
404,Itamaraju,BR,-17.0392,-39.5311,67.66,95,59,0.38,broken clouds
405,Ngunguru,NZ,-35.6167,174.5,59.27,58,0,14.52,clear sky
406,Muhos,FI,64.808,25.9931,53.38,75,100,10.67,overcast clouds
407,Williston,US,48.147,-103.618,67.03,21,1,4.0,clear sky
408,Kemijarvi,FI,66.7131,27.4306,45.1,85,99,9.86,overcast clouds
409,Killybegs,IE,54.6333,-8.45,49.28,86,46,19.66,scattered clouds
410,Aguie,NE,13.506,7.7786,89.15,36,94,10.92,overcast clouds
411,Russell,US,32.3502,-85.1999,83.97,33,0,6.91,clear sky
412,Bjornevatn,NO,69.6672,29.9847,37.74,100,100,4.61,fog
413,Khash,IR,28.2211,61.2158,71.22,24,0,6.02,clear sky
414,Willowmore,ZA,-33.2926,23.4895,52.43,42,19,6.71,few clouds
415,Nyanza,RW,-2.3519,29.7509,56.25,95,77,3.6,broken clouds
416,Mtwara,TZ,-10.2667,40.1833,70.79,93,1,8.16,clear sky
417,Uyemskiy,RU,64.4743,40.8524,42.85,52,20,6.71,few clouds
418,Puerto Escondido,MX,15.85,-97.0667,86.83,66,40,2.3,scattered clouds
419,Taoudenni,ML,22.6783,-3.9836,89.02,9,7,7.52,clear sky
420,Dalbandin,PK,28.8947,64.4101,82.15,18,0,7.25,clear sky
421,Sobolevo,RU,54.4299,31.8996,38.95,74,46,7.34,scattered clouds
422,Villazon,BO,-22.0866,-65.5942,49.6,18,0,4.47,clear sky
423,Springfield,US,37.2153,-93.2982,86.54,74,100,11.5,overcast clouds
424,Helena,US,46.5927,-112.0361,54.59,27,0,13.8,clear sky
425,Maceio,BR,-9.6658,-35.7353,76.44,83,20,3.44,few clouds
426,Namatanai,PG,-3.6667,152.4333,85.42,65,64,11.03,broken clouds
427,Songjianghe,CN,42.1859,127.479,50.76,54,100,6.53,overcast clouds
428,Warwick,US,41.7001,-71.4162,57.24,34,20,20.71,few clouds
429,Boma,GH,7.0805,-2.1697,74.07,98,97,2.75,overcast clouds
430,Lagoa,PT,39.05,-27.9833,59.49,77,95,19.86,light rain
431,Uribia,CO,11.7139,-72.266,78.22,89,100,11.68,overcast clouds
432,Waipawa,NZ,-41.4122,175.5153,51.12,58,93,7.94,overcast clouds
433,Fereydunshahr,IR,32.941,50.121,44.19,43,0,5.73,clear sky
434,Agdam,AZ,39.991,46.9274,51.87,85,100,4.32,light rain
435,Yuzhno-Sukhokumsk,RU,44.6581,45.6436,50.5,60,99,9.71,overcast clouds
436,Bajos De Haina,DO,18.4154,-70.0332,82.33,74,40,5.75,scattered clouds
437,Shihezi,CN,44.3,86.0333,69.08,20,95,4.79,overcast clouds
438,Crixas,BR,-14.5489,-49.9692,74.21,49,12,0.92,few clouds
439,Jurm,AF,36.8648,70.8342,61.21,84,99,2.01,overcast clouds
440,Biloela,AU,-24.4167,150.5,71.55,76,100,15.46,moderate rain
441,Tsiroanomandidy,MG,-18.7667,46.0333,56.07,91,0,1.59,clear sky
442,Campeche,MX,19.0,-90.5,89.96,49,50,6.06,scattered clouds
443,Chegdomyn,RU,51.1167,133.0167,64.92,39,78,2.26,broken clouds
444,Shitanjing,CN,39.2342,106.3439,47.46,43,63,7.85,light rain
445,Ilulissat,GL,69.2167,-51.1,24.82,58,31,8.05,scattered clouds
446,Batagay,RU,67.6333,134.6333,22.48,66,60,5.1,broken clouds
447,Maputo,MZ,-25.9653,32.5892,65.23,86,20,3.44,few clouds
448,Vila,PT,42.0304,-8.1588,50.7,71,32,2.8,scattered clouds
449,Vilshofen,DE,48.6333,13.1833,60.84,78,99,2.24,overcast clouds
450,Asbe Teferi,ET,9.0833,40.8667,63.66,50,37,3.06,scattered clouds
451,Swan River,CA,52.1058,-101.2676,46.29,76,100,19.57,overcast clouds
452,Praya,CV,14.9215,-23.5087,73.94,73,0,14.97,clear sky
453,Nakhon Sawan,TH,15.7,100.0833,81.01,80,92,7.18,overcast clouds
454,Luanda,AO,-8.8368,13.2343,77.0,88,75,3.44,broken clouds
455,Dukat,RU,62.55,155.55,31.55,100,100,7.9,overcast clouds
456,Constantine,DZ,36.365,6.6147,49.41,93,20,2.3,few clouds
457,Poum,NC,-20.2333,164.0167,77.94,71,92,20.04,overcast clouds
458,Claudio,BR,-20.4433,-44.7658,58.33,65,6,3.8,clear sky
459,Port Blair,IN,11.6667,92.75,80.64,89,75,2.3,mist
460,Progreso,MX,21.2833,-89.6667,91.51,82,0,21.63,clear sky
461,Codrington,AU,-38.2667,141.9667,59.65,67,70,5.88,broken clouds
462,Urucara,BR,-2.5364,-57.76,73.74,98,55,3.15,broken clouds
463,Kununurra,AU,-15.7667,128.7333,71.58,60,56,0.0,broken clouds
464,Toguchin,RU,55.2353,84.3858,40.15,42,0,11.48,clear sky
465,Noshiro,JP,40.2039,140.0242,58.03,45,80,3.33,broken clouds
466,San Cristobal,VE,7.7669,-72.225,75.38,99,99,3.27,overcast clouds
467,Ust-Ishim,RU,57.6935,71.1665,51.58,50,100,9.37,overcast clouds
468,Atbasar,KZ,51.8,68.3333,51.01,86,81,9.6,broken clouds
469,Itarema,BR,-2.9248,-39.9167,76.19,88,100,6.73,overcast clouds
470,Inongo,CD,-1.95,18.2667,72.45,93,100,2.46,light rain
471,Srednekolymsk,RU,67.45,153.6833,24.62,79,100,4.47,overcast clouds
472,Najran,SA,17.4924,44.1277,79.45,23,19,1.57,few clouds
473,Margate,GB,51.3813,1.3862,55.87,74,96,4.0,overcast clouds
474,Jalu,LY,29.0331,21.5482,69.01,39,87,11.39,overcast clouds
475,Shenjiamen,CN,29.9576,122.298,62.91,98,100,8.08,overcast clouds
476,Tuatapere,NZ,-46.1333,167.6833,54.66,59,12,3.85,few clouds
477,Ancud,CL,-41.8697,-73.8203,48.7,85,77,4.0,broken clouds
478,Lasa,IT,46.6166,10.7002,58.08,73,99,1.81,overcast clouds
479,Luorong,CN,24.4058,109.6086,70.3,87,63,6.49,broken clouds
480,Rawson,AR,-43.3002,-65.1023,52.09,72,0,8.88,clear sky
481,Penal,TT,10.1667,-61.4667,80.85,85,18,1.01,few clouds
482,Berea,US,41.3662,-81.8543,81.48,41,75,10.36,broken clouds
483,Beyneu,KZ,45.3167,55.2,54.63,85,2,8.77,clear sky
484,Sabha,LY,27.0377,14.4283,75.72,26,61,10.18,broken clouds
485,Salalah,OM,17.0151,54.0924,82.49,69,0,2.3,clear sky
486,Ijuin,JP,31.6167,130.4,68.11,97,100,4.32,heavy intensity rain
487,Nhulunbuy,AU,-12.2333,136.7667,83.01,83,75,5.75,broken clouds
488,Lorengau,PG,-2.0226,147.2712,84.74,71,100,10.8,overcast clouds
489,Meulaboh,ID,4.1363,96.1285,77.54,89,100,6.17,light rain
490,Zhanakorgan,KZ,43.9098,67.2495,61.7,46,31,7.25,scattered clouds
491,San Policarpo,PH,12.1791,125.5072,82.99,79,64,8.93,broken clouds
492,Tiznit,MA,29.5833,-9.5,73.94,25,100,3.33,overcast clouds
493,Lavrentiya,RU,65.5833,-171.0,33.03,98,100,5.79,overcast clouds
494,Hobyo,SO,5.3505,48.5268,82.17,76,87,19.98,overcast clouds
495,Porto Novo,BJ,6.4965,2.6036,84.02,84,97,6.06,overcast clouds
496,Aranda De Duero,ES,41.6704,-3.6892,61.23,60,27,5.17,scattered clouds
497,Shiyan,CN,32.6475,110.7781,62.51,78,100,0.81,overcast clouds
498,Sveti Nikole,MK,41.8696,21.9527,54.45,89,80,0.45,broken clouds
499,Korla,CN,41.7597,86.1469,73.02,26,40,10.07,scattered clouds
500,Narok,KE,-1.0783,35.8601,55.76,96,25,4.12,scattered clouds
501,Kavieng,PG,-2.5744,150.7967,85.24,68,95,16.31,overcast clouds
502,Flin Flon,CA,54.7682,-101.865,58.84,29,75,6.91,broken clouds
503,Kiunga,PG,-6.1219,141.2906,80.29,91,100,3.38,overcast clouds
504,Kisangani,CD,0.5167,25.2,71.78,97,96,1.77,moderate rain
505,Trinidad,BO,-14.8333,-64.9,80.58,83,75,0.0,light rain
506,Gornyy,RU,55.1153,83.9059,38.59,46,0,9.69,clear sky
507,Inhambane,MZ,-23.865,35.3833,66.06,90,0,5.5,clear sky
508,Nishihara,JP,26.1842,127.7558,78.85,91,100,12.66,light rain
509,Salinopolis,BR,-0.6136,-47.3561,76.28,88,100,2.86,overcast clouds
510,Naze,JP,28.3667,129.4833,72.52,65,98,2.59,moderate rain
511,Vila Velha,BR,-20.3297,-40.2925,73.35,83,0,4.61,clear sky
512,Chabahar,IR,25.2919,60.643,81.36,75,7,11.21,clear sky
513,Sovetskaya Gavan,RU,48.9723,140.2878,54.72,59,8,6.29,clear sky
514,Aykhal,RU,66.0,111.5,33.89,99,93,19.62,overcast clouds
515,Monroe,US,43.1501,-77.6831,71.62,36,40,6.91,scattered clouds
516,Khandbari,NP,27.3747,87.2039,70.07,84,78,1.43,broken clouds
517,Asmara,ER,15.3333,38.9333,60.3,42,0,7.29,clear sky
518,College,US,64.8569,-147.8028,42.21,82,75,6.91,broken clouds
519,Ust-Tarka,RU,55.5672,75.705,48.18,39,100,12.5,overcast clouds
520,Tucurui,BR,-3.7661,-49.6725,73.8,96,97,3.53,overcast clouds
521,Talara,PE,-4.5772,-81.2719,70.56,73,75,12.66,broken clouds
522,Verkhnevilyuysk,RU,63.4453,120.3167,38.28,73,52,6.2,broken clouds
523,Kumbo,CM,6.2,10.6667,60.75,93,82,3.38,light rain
524,Jaque,PA,7.5175,-78.1703,80.47,82,72,1.54,light rain
525,Colwyn Bay,GB,53.2948,-3.7267,55.9,9,97,11.99,overcast clouds
526,Acapulco,MX,16.8634,-99.8901,85.82,66,75,8.05,broken clouds
527,Vao,NC,-22.6667,167.4833,73.31,67,35,21.07,scattered clouds
528,Castanas,PH,13.8822,121.5517,81.09,71,100,5.86,overcast clouds
529,Mombaca,BR,-5.7431,-39.6275,72.01,70,72,3.22,broken clouds
530,Huarmey,PE,-10.0681,-78.1522,65.8,82,2,7.14,clear sky
531,Santa Rita,BR,-7.1139,-34.9781,77.67,88,0,4.61,clear sky
532,Anadyr,RU,64.75,177.4833,43.3,70,40,6.71,scattered clouds
533,Walvis Bay,NA,-22.9575,14.5053,59.95,77,22,0.0,few clouds
534,Kharp,RU,66.8014,65.8081,19.72,84,98,3.4,overcast clouds
535,Amahai,ID,-3.3333,128.9167,82.98,76,86,1.72,overcast clouds
536,Dire Dawa,ET,9.5931,41.8661,73.24,33,4,3.18,clear sky
537,Umm Lajj,SA,25.0213,37.2685,80.74,39,22,11.79,few clouds
538,Gari,RU,59.4307,62.3497,53.2,64,100,9.04,overcast clouds
539,Paidha,UG,2.4167,30.9855,63.99,75,51,5.5,broken clouds
540,Saint Anthony,US,45.0205,-93.218,80.22,26,0,9.22,clear sky
541,Gamba,GA,-2.65,10.0,77.72,92,100,4.05,light rain
542,Genhe,CN,50.7833,121.5167,36.75,58,38,5.97,scattered clouds
543,Boyuibe,BO,-20.4167,-63.2833,65.53,75,100,1.97,overcast clouds
544,Kandi,BJ,11.1342,2.9386,83.89,53,90,4.47,overcast clouds
545,High Level,CA,58.5169,-117.136,37.51,70,75,2.3,broken clouds
546,Wawa,NG,9.9022,4.4192,84.74,59,95,4.0,overcast clouds
547,Sidi Ali,DZ,36.0998,0.4206,62.11,58,2,5.01,clear sky
548,Fairbanks,US,64.8378,-147.7164,42.22,81,75,6.91,light rain
549,Ghatanji,IN,20.1333,78.3167,87.44,47,100,5.57,overcast clouds
550,Joutseno,FI,61.118,28.5076,42.85,58,98,8.57,overcast clouds
551,Cabedelo,BR,-6.9811,-34.8339,77.67,82,97,7.81,overcast clouds
552,Manakara,MG,-22.1333,48.0167,65.64,81,0,4.92,clear sky
553,Sur,OM,22.5667,59.5289,82.44,50,0,2.26,clear sky
554,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,82,100,2.3,overcast clouds
555,Hare Bay,CA,48.8499,-54.0148,61.95,64,4,5.44,clear sky
556,Kalmar,SE,56.6616,16.3616,57.15,92,100,5.01,overcast clouds
557,Werl,DE,51.55,7.9167,62.02,79,95,3.42,overcast clouds
558,Durban,ZA,-29.8579,31.0292,64.02,89,93,3.0,overcast clouds
559,Afua,BR,-0.1567,-50.3867,73.49,96,100,3.13,light rain
560,Saint-Louis,SN,16.3333,-15.0,89.24,46,6,12.19,clear sky
561,Gayny,RU,60.3071,54.3241,47.73,81,100,5.97,overcast clouds
562,Yukamenskoye,RU,57.8865,52.2416,49.57,91,100,10.11,light rain
563,Buraydah,SA,26.326,43.975,81.05,15,10,12.35,clear sky
564,Yumen,CN,40.2833,97.2,62.73,23,38,7.99,scattered clouds
565,Los Alamos,US,35.8881,-106.307,80.42,10,0,16.11,clear sky
566,Hovd,MN,48.0056,91.6419,41.04,24,1,2.77,clear sky
567,Ilo,PE,-17.6394,-71.3375,64.27,84,13,2.26,few clouds
568,Horsham,GB,51.064,-0.3272,55.72,84,0,5.75,clear sky
569,Binabalian,PH,16.4202,119.9279,83.61,73,3,12.1,clear sky
570,Port Hedland,AU,-20.3167,118.5667,60.85,29,48,8.05,scattered clouds
571,Monrovia,LR,6.3005,-10.7969,80.89,83,89,8.57,overcast clouds
572,San Rafael Del Sur,NI,11.8485,-86.4384,88.77,71,62,5.01,broken clouds
573,Benjamin Constant,BR,-4.3831,-70.0311,80.73,89,40,1.14,scattered clouds
574,Northam,GB,51.0333,-4.2167,54.61,88,100,15.12,overcast clouds
575,Minot,US,48.2325,-101.2963,66.42,22,0,13.8,clear sky
576,Noumea,NC,-22.2763,166.4572,78.78,99,78,15.84,broken clouds
577,Chernigovka,RU,44.3389,132.5728,59.86,31,98,17.81,overcast clouds
578,Kang,BW,-23.6752,22.7876,57.85,24,3,4.74,clear sky
579,Bar Harbor,US,44.3876,-68.2039,52.02,58,0,8.12,clear sky
580,Asfi,MA,32.2994,-9.2372,66.88,74,48,3.49,scattered clouds
581,Cartagena,CO,10.3997,-75.5144,83.82,79,40,6.91,scattered clouds
582,Half Moon Bay,US,37.4636,-122.4286,62.51,55,0,24.16,clear sky
583,Rio Grande,BR,-32.035,-52.0986,62.71,90,100,4.36,overcast clouds
584,Niteroi,BR,-22.8833,-43.1036,73.02,78,75,13.8,broken clouds
585,Constitucion,CL,-35.3333,-72.4167,56.61,73,100,10.58,overcast clouds
586,Camana,PE,-16.6228,-72.7111,66.09,85,38,4.41,scattered clouds
587,Santa Fe,AR,-31.6333,-60.7,58.91,90,12,2.95,light rain
588,Watsa,CD,3.0372,29.5355,64.22,83,64,3.38,broken clouds
589,Saint-Nazaire,FR,47.2833,-2.2,57.18,94,0,6.91,clear sky
590,Acarau,BR,-2.8856,-40.12,76.68,87,100,7.29,overcast clouds
591,Nivala,FI,63.9167,24.9667,51.69,82,100,11.16,overcast clouds
592,Buena Vista,US,43.4203,-83.8986,82.45,43,75,12.66,broken clouds
593,Iaciara,BR,-14.0958,-46.6317,68.4,43,9,3.06,clear sky
594,Sarangarh,IN,21.6,83.0833,81.34,70,92,8.5,overcast clouds
595,Maarianhamina,AX,60.0973,19.9348,44.46,93,40,18.41,scattered clouds
596,Rianxo,ES,42.6498,-8.8176,58.05,85,22,2.75,few clouds
597,Te Anau,NZ,-45.4167,167.7167,48.88,68,29,1.21,scattered clouds
598,Rolla,US,37.9514,-91.7713,88.23,70,100,8.05,overcast clouds
599,Kushiro,JP,42.975,144.3747,61.75,39,0,5.75,clear sky
600,Atambua,ID,-9.1061,124.8925,78.24,68,65,1.81,broken clouds
601,Bilma,NE,18.6853,12.9164,90.27,12,1,5.61,clear sky
602,China,MX,25.7,-99.2333,90.18,50,60,25.99,broken clouds
603,Tavrichanka,RU,43.3378,131.8639,53.46,58,100,10.63,overcast clouds
604,Parrita,CR,9.5201,-84.3225,81.16,80,99,3.31,overcast clouds
605,Teahupoo,PF,-17.8333,-149.2667,80.53,76,32,15.9,scattered clouds
606,Muroto,JP,33.2833,134.15,66.18,88,100,22.75,light rain
607,Juneau,US,58.3019,-134.4197,44.6,94,75,11.5,broken clouds
608,Fuyu,CN,45.1833,124.8167,48.43,54,84,10.02,broken clouds
609,Baruun-Urt,MN,46.6806,113.2792,32.58,43,27,15.28,scattered clouds
610,Kennett,US,36.2362,-90.0556,89.74,67,1,7.54,clear sky
611,Jacksonville,US,30.3322,-81.6556,77.25,49,20,8.05,few clouds
612,Pastavy,BY,55.1168,26.8326,42.73,73,88,6.91,overcast clouds
613,Jawad,IN,24.6,74.85,85.68,17,17,7.56,few clouds
614,Portland,US,45.5234,-122.6762,62.62,43,40,5.75,scattered clouds
615,Simbach,DE,48.5667,12.75,59.76,76,98,3.89,overcast clouds
616,Tautira,PF,-17.7333,-149.15,80.94,76,33,15.77,scattered clouds
617,Talcahuano,CL,-36.7167,-73.1167,55.08,94,100,5.75,light rain
618,Kalulushi,ZM,-12.8378,28.0919,60.53,71,24,3.18,few clouds
619,Brzesko,PL,49.9691,20.6061,52.59,62,52,4.14,broken clouds
620,Salamanca,ES,40.8333,-6.0,63.75,51,16,4.74,few clouds
621,Ternate,ID,0.8,127.4,81.55,83,99,9.51,light rain
622,Sinnamary,GF,5.3833,-52.95,77.13,88,19,8.95,few clouds
623,Bijar,IR,35.8668,47.6051,42.8,67,24,2.48,few clouds
624,Lake Havasu City,US,34.4839,-114.3224,86.0,6,0,13.8,clear sky
625,Snasa,NO,64.2457,12.3778,40.62,96,84,3.53,broken clouds
626,Dingle,PH,10.9995,122.6711,83.61,72,77,6.2,broken clouds
627,Shingu,JP,33.7333,135.9833,62.22,92,100,7.96,light rain
628,Tocopilla,CL,-22.092,-70.1979,63.37,74,9,0.56,clear sky
629,Locri,IT,38.2414,16.2623,62.31,74,5,9.15,clear sky
630,Le Vauclin,MQ,14.5452,-60.8388,80.65,74,20,11.5,few clouds
631,Dzerzhinskoye,RU,56.8344,95.2283,38.86,44,1,3.13,clear sky
632,Rosetown,CA,51.5501,-108.0014,42.78,87,97,10.36,overcast clouds
633,Bubaque,GW,11.2833,-15.8333,77.97,73,55,19.19,broken clouds
634,Mbanza-Ngungu,CD,-5.25,14.8667,69.24,95,83,2.46,light rain
635,Spring Valley,US,36.108,-115.245,75.15,14,75,21.99,broken clouds
636,Ahipara,NZ,-35.1667,173.1667,62.37,46,0,12.57,clear sky
637,Roebourne,AU,-20.7833,117.1333,71.35,22,72,12.37,broken clouds
638,Antofagasta,CL,-23.65,-70.4,60.08,87,11,2.3,few clouds
639,Vigrestad,NO,58.5667,5.7,49.96,94,45,9.48,scattered clouds
640,Simoes,BR,-7.5989,-40.8178,78.84,54,100,6.76,overcast clouds
641,Kandrian,PG,-6.2167,149.55,85.42,72,99,4.79,overcast clouds
642,Sioux Lookout,CA,50.1001,-91.917,66.27,30,20,11.5,few clouds
643,Porosozero,RU,62.7191,32.727,37.99,83,67,6.42,broken clouds
644,Lengshuitan,CN,26.4111,111.5956,61.72,92,100,3.51,overcast clouds
645,Fukuma,JP,33.7667,130.4667,69.3,95,100,4.74,overcast clouds
646,Harper,LR,4.375,-7.7169,79.61,84,88,5.28,light rain
647,Bereznik,RU,62.8551,42.7072,35.56,72,0,3.6,clear sky
648,Thinadhoo,MV,0.5333,72.9333,84.38,74,100,18.03,overcast clouds
649,Mamou,GN,10.5,-12.0,79.38,53,38,3.36,scattered clouds
650,Safaga,EG,26.7292,33.9365,77.43,37,0,6.87,clear sky
651,Hami,CN,42.8,93.45,65.43,9,80,6.46,broken clouds
652,Magdalena,PH,14.1999,121.429,84.34,66,98,6.44,overcast clouds
653,Kemise,ET,10.7167,39.8667,69.22,66,50,3.27,light rain
654,Segezha,RU,63.7415,34.3222,38.25,86,74,8.32,broken clouds
655,Sabang,ID,5.8933,95.3214,83.89,73,100,11.34,overcast clouds
656,Lavumisa,SZ,-27.31,31.892,59.25,89,27,3.83,scattered clouds
657,Caldwell,US,43.6629,-116.6874,59.14,35,0,8.05,clear sky
658,Hongjiang,CN,27.11,109.9956,65.28,89,100,2.48,overcast clouds
659,Wukari,NG,7.85,9.7833,76.6,85,73,3.18,light rain
660,Ambilobe,MG,-13.2,49.05,71.94,95,3,2.06,clear sky
661,Morondava,MG,-20.2833,44.2833,69.8,76,0,9.13,clear sky
662,Morros,BR,-9.4467,-46.3003,73.89,63,72,0.63,broken clouds
663,Eenhana,NA,-17.4667,16.3333,59.25,41,0,5.84,clear sky
664,Vanimo,PG,-2.6741,141.3028,84.65,72,49,7.52,scattered clouds
665,Singaraja,ID,-8.112,115.0882,82.04,81,82,1.41,broken clouds
666,Gombong,ID,-7.6072,109.5142,80.22,88,65,2.15,broken clouds
667,Chokwe,MZ,-24.5333,32.9833,62.67,82,0,1.48,clear sky
668,Mandiana,GN,10.6333,-8.6833,83.97,36,33,5.79,scattered clouds
669,Acajutla,SV,13.5928,-89.8275,84.7,70,60,4.97,broken clouds
670,Morant Bay,JM,17.8815,-76.4093,82.02,83,10,8.55,clear sky
671,Kamenka,RU,51.3223,42.7678,36.09,85,47,11.9,scattered clouds
672,Arman,RU,59.7,150.1667,37.02,95,100,7.9,light rain
673,Fukue,JP,32.6881,128.8419,64.76,100,75,8.05,light intensity shower rain
674,Colombo,LK,6.9319,79.8478,82.72,84,100,20.8,overcast clouds
675,Kreuzau,DE,50.75,6.4833,63.68,72,75,2.3,broken clouds
676,Okhotsk,RU,59.3833,143.3,32.94,98,100,10.47,light snow
677,Nanortalik,GL,60.1432,-45.2371,35.29,88,53,5.01,broken clouds
678,Manono,CD,-7.3,27.4167,66.54,69,53,1.86,broken clouds
679,Fairlie,GB,55.756,-4.8556,51.71,88,60,7.0,broken clouds
680,Khuldabad,IN,20.05,75.1833,81.12,37,96,10.33,overcast clouds
681,Balkanabat,TM,39.5108,54.3671,67.3,36,66,6.46,broken clouds
682,Dunedin,NZ,-45.8742,170.5036,54.09,54,9,3.8,clear sky
683,Lakes Entrance,AU,-37.8811,147.981,59.49,70,100,3.4,overcast clouds
684,Ostrovnoy,RU,68.0531,39.5131,38.8,87,100,16.06,overcast clouds
685,Nizwa,OM,22.9333,57.5333,80.2,29,0,2.53,clear sky
686,Zuya,UA,45.0531,34.3154,45.21,76,28,4.72,scattered clouds
687,Chisindia,RO,46.2833,22.1,50.47,86,5,2.26,clear sky
688,Peleduy,RU,59.6289,112.7406,38.89,59,50,3.74,scattered clouds
689,Pacific Grove,US,36.6177,-121.9166,63.55,62,0,16.11,clear sky
690,Hay River,CA,60.8156,-115.7999,30.18,64,75,6.91,broken clouds
691,Bambanglipuro,ID,-7.95,110.2833,80.42,86,72,1.95,broken clouds
692,Moanda,GA,-1.5575,13.2178,70.7,94,96,2.62,overcast clouds
693,Sibolga,ID,1.7427,98.7792,78.39,87,100,3.09,overcast clouds
694,Liaozhong,CN,41.5061,122.7242,54.43,54,61,7.11,broken clouds
695,San Quintin,MX,30.4833,-115.95,63.0,63,20,25.86,few clouds
696,Cururupu,BR,-1.8283,-44.8683,74.23,91,100,1.03,overcast clouds
697,Batagay-Alyta,RU,67.8006,130.4114,18.45,66,99,4.36,overcast clouds
698,Dongying,CN,37.4564,118.4856,60.66,66,100,6.91,overcast clouds
699,Vostok,RU,46.4856,135.8833,66.09,24,89,0.63,overcast clouds
700,Pyshma,RU,56.9523,63.2513,52.36,75,100,15.05,light rain
701,Shimoda,JP,34.6667,138.95,66.11,59,100,11.23,overcast clouds
